City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,Andergrove,-21.0833,149.1833,20.36,69,61,8.1,AU,1695571557
130,Ancud,-41.8697,-73.8203,8.02,64,50,1.7,CL,1695571557
131,Lockwood,45.8191,-108.4149,16.46,66,20,4.63,US,1695571557
132,Thompson,55.7435,-97.8558,13.09,76,20,2.06,CA,1695571557
133,Tuxpan,19.55,-103.4,25.86,79,28,0.63,MX,1695571555
134,Luderitz,-26.6481,15.1594,13.87,71,28,7.97,NA,1695571557
135,Saipan,15.1355,145.701,28.39,83,0,2.57,MP,1695571558
136,Tabou,4.423,-7.3528,25.03,90,93,4.04,CI,1695571558
137,Atafu village,-8.5421,-172.5159,28.1,81,96,9.2,TK,1695571558
138,Bac lieu,9.285,105.7244,26.32,89,100,3.99,VN,1695571558
139,Bubaque,11.2833,-15.8333,28.08,76,10,4.41,GW,1695571558
140,Hamilton,39.1834,-84.5333,24.72,61,0,4.63,US,1695571518
141,Buinsk,54.95,48.2833,18.33,44,0,2.76,RU,1695571558
142,Ciudad lazaro cardenas,17.9583,-102.2,30.85,72,6,0.9,MX,1695571558
143,Wailua homesteads,22.0669,-159.378,24.44,78,20,7.72,US,1695571558
144,At taj,24.2049,23.2857,32.21,12,18,3.36,LY,1695571558
145,Champerico,14.3,-91.9167,30.3,68,67,2.02,GT,1695571558
146,Port mathurin,-19.6833,63.4167,22.74,74,17,9.56,MU,1695571267
147,Dongola,19.1667,30.4833,39.64,11,12,5.83,SD,1695571559
148,Taoudenni,22.6783,-3.9836,44.89,5,0,2.34,ML,1695571559
149,Vel'sk,61.0701,42.0983,14.87,92,100,4.37,RU,1695571559
150,Nizhnevartovsk,60.9344,76.5531,8.01,76,100,2.0,RU,1695571559
151,Antsohihy,-14.8796,47.9875,27.15,51,60,3.88,MG,1695571559
152,Tazovsky,67.4667,78.7,3.58,94,100,8.71,RU,1695571559
153,Fuyuan,46.4333,127.0833,13.81,71,100,4.14,CN,1695571560
154,Paragominas,-2.9667,-47.4833,38.63,24,15,2.57,BR,1695571344
155,Mooloolaba,-26.6833,153.1167,16.28,93,95,0.45,AU,1695571560
156,Pisco,-13.7,-76.2167,20.57,83,75,3.6,PE,1695571479
157,Newman,37.3138,-121.0208,18.46,69,44,1.34,US,1695571560
158,Stanley,54.868,-1.6985,17.1,88,75,7.2,GB,1695571460
159,Kamenka,51.3223,42.7678,18.12,31,0,3.55,RU,1695571560
160,Klyuchi,52.2667,79.1667,9.16,62,100,2.12,RU,1695571560
161,Paraparaumu,-40.9167,175.0167,10.14,80,93,5.38,NZ,1695571560
162,Lianyuan,27.6883,111.6642,21.35,89,96,1.57,CN,1695571560
163,Tazacorte,28.629,-17.9293,26.54,76,20,5.66,ES,1695571560
164,Papao,-17.75,-149.55,21.48,81,100,10.5,PF,1695571560
165,Collie,-33.3667,116.15,8.44,94,35,1.89,AU,1695571561
166,Kimbe,-5.5502,150.1429,24.39,90,100,2.43,PG,1695571561
167,Al jawf,29.5,38.75,35.01,13,4,5.58,SA,1695571561
168,La passe,45.5549,-0.8967,24.13,41,54,3.07,FR,1695571561
169,Portage la prairie,49.9728,-98.2926,16.73,70,100,6.34,CA,1695571427
170,Fortuna foothills,32.6578,-114.4119,31.79,30,0,2.06,US,1695571561
171,Ceres,37.5949,-120.9577,18.91,68,0,3.09,US,1695571562
172,Mainit,9.535,125.5231,26.91,82,100,1.52,PH,1695571562
173,Hithadhoo,-0.6,73.0833,27.71,75,35,3.57,MV,1695571562
174,Mao,39.8885,4.2658,24.31,57,20,3.09,ES,1695571563
175,Moroto,2.5345,34.6666,25.74,44,94,1.98,UG,1695571563
176,Crane,31.3974,-102.3501,30.91,33,1,2.32,US,1695571563
177,Burwell,53.293,0.0346,20.02,76,94,9.45,GB,1695571563
178,Kill devil hills,36.0307,-75.676,24.99,66,0,5.66,US,1695571445
179,Uturoa,-16.7333,-151.4333,23.33,69,100,10.69,PF,1695571564
180,Tabas,33.5959,56.9244,27.12,9,0,3.09,IR,1695571564
181,Bria,6.5423,21.9863,22.59,93,100,1.13,CF,1695571565
182,Witu,-2.3889,40.4382,25.09,78,84,5.54,KE,1695571565
183,Alo,7.4178,6.7371,28.02,78,82,1.73,NG,1695571565
184,Storkow,52.25,13.9333,20.59,50,4,0.91,DE,1695571565
185,Lihue,21.9789,-159.3672,24.77,78,20,7.72,US,1695571565
